Geo_Loc,Year,State,Pop_Est,TTL_Cnty,Cnty_Rpt,Dys_w_AQI,Dys_NM,Dys_Blw_Thr,Dys_Abv_Thr,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
POINT (-72.08269067499964 42.27687047000046),1981,Massachusetts,5768685,14,9,2342,943,2135,207,1420,715,139,52,16,0,1740,856,391,401,557,1384,0,0
POINT (-84.71439026999968 44.6613195430005),1981,Michigan,9209287,83,14,4257,853,3989,268,3347,642,197,61,10,0,2377,1038,476,668,646,2943,0,0
POINT (-94.79420050299967 46.35564873600049),1981,Minnesota,4111733,87,10,2873,777,2811,62,2069,742,53,7,2,0,1417,622,375,1346,193,1334,0,0
POINT (-89.53803082499968 32.745510099000455),1981,Mississippi,2539032,82,3,920,175,859,61,664,195,54,7,0,0,462,254,125,71,44,805,0,0
POINT (-92.56630005299968 38.635790776000476),1981,Missouri,4932069,115,8,2547,373,2383,164,1923,460,113,42,9,0,1611,612,279,531,319,1697,0,0
POINT (-109.42442064499971 47.06652897200047),1981,Montana,795325,56,5,1439,386,1418,21,1185,233,15,5,1,0,693,306,178,725,210,504,0,0
POINT (-99.36572062299967 41.6410409880005),1981,Nebraska,1578517,93,3,851,244,833,18,707,126,10,3,5,0,440,156,76,384,81,386,0,0
POINT (-117.07184056399967 39.493240390000494),1981,Nevada,847656,17,4,1237,223,1016,221,611,405,195,19,7,0,597,335,241,485,313,439,0,0
POINT (-71.50036091999965 43.65595011300047),1981,New Hampshire,936621,10,4,1028,432,969,59,666,303,38,16,5,0,755,287,163,447,0,581,0,0
POINT (-74.27369128799967 40.13057004800049),1981,New Jersey,7407471,21,19,5601,1334,5032,569,3470,1562,345,169,55,0,3352,1717,759,2328,1304,1969,0,0
POINT (-106.24058098499967 34.52088095200048),1981,New Mexico,1332747,33,5,1738,87,1652,86,1249,403,36,25,25,0,652,405,193,951,56,731,0,0
